circuito,pit_lane_time,produzione,pit_loss_dry,ic95,larghezza,n_blocchi,n_stop,guadagno,rapporto,verdetto,track_time,wet_mediana,wet_blocchi,layout_dal,note
miami,22.68,22.63,19.99,,,4,50.0,,,NON ESEGUIBILE,2.69,,0.0,2023.0,cambio layout: escluse ['2022-r5']; layout attuale dal 2023; mancano 1 blocchi dry; layout attuale stabile dal 2023
monaco,24.28,24.8,20.17,,,4,72.0,,,MISURA NON SEPARABILE,4.11,,0.0,2018.0,"escluse per stazionarieta (sporadiche): ['2022-r7', '2026-r6']; traffico al rientro in aggiunta al warm-in: proprieta permanente del tracciato; veto fisico: pit_loss<0 su 0, >lane su 3, track_time 4.11; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
spielberg,21.71,21.63,20.98,,,10,249.0,,,MISURA NON SEPARABILE,0.74,,0.0,2018.0,"warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 22, track_time 0.74; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
marina-bay,29.53,29.55,28.39,,,3,54.0,,,MISURA NON SEPARABILE,1.14,,0.0,2018.0,"escluse per stazionarieta (sporadiche): ['2018-r21', '2025-r18']; escluse per >2 settori affetti: ['2022-r17']; warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 11, track_time 1.14; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
lusail,28.57,28.82,27.32,,,3,66.0,,,NON ESEGUIBILE,1.26,,0.0,2023.0,cambio layout: escluse ['2021-r20']; layout attuale dal 2023; mancano 2 blocchi dry; layout attuale stabile dal 2023
monza,24.48,24.66,24.79,,,6,97.0,,,MISURA NON SEPARABILE,-0.31,,0.0,2019.0,"1 gare non caricabili: ['2018-r14']; warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 68, track_time -0.31; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
montreal,23.8,24.37,18.96,[18.45 - 19.12],0.66,5,75.0,5.41,16.3,GO,4.83,,0.0,2018.0,"escluse per >2 settori affetti: ['2024-r9', '2026-r5']"
austin,24.21,24.25,20.57,[20.35 - 20.70],0.34,7,175.0,3.68,21.4,GO,3.64,,0.0,2018.0,
interlagos,23.53,23.73,21.88,,,6,174.0,,,MISURA NON SEPARABILE,1.65,,0.0,2018.0,"escluse per stazionarieta (sporadiche): ['2024-r21']; warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 1, track_time 1.65; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
suzuka,23.37,23.72,22.61,,,6,120.0,,,MISURA NON SEPARABILE,0.76,,0.0,2018.0,"escluse per stazionarieta (sporadiche): ['2022-r18']; warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 28, track_time 0.76; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
spa-francorchamps,23.15,23.36,19.04,[18.77 - 19.15],0.38,6,134.0,4.32,22.6,GO,4.11,,0.0,2018.0,escluse per >2 settori affetti: ['2025-r13']
shanghai,23.0,22.97,24.31,,,5,77.0,,,MISURA NON SEPARABILE,-1.31,,0.0,2018.0,"warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 75, track_time -1.31; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
mexico-city,22.64,22.69,22.55,,,7,144.0,,,MISURA NON SEPARABILE,0.09,,0.0,2018.0,"warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 68, track_time 0.09; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
catalunya,22.33,22.38,22.98,,,8,292.0,,,MISURA NON SEPARABILE,-0.65,,0.0,2018.0,"warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 265, track_time -0.65; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
yas-marina,21.93,22.01,22.4,,,8,168.0,,,MISURA NON SEPARABILE,-0.47,,0.0,2018.0,"warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 123, track_time -0.47; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
hungaroring,21.88,21.8,21.08,,,6,163.0,,,MISURA NON SEPARABILE,0.8,,0.0,2018.0,"escluse per stazionarieta (sporadiche): ['2021-r11']; warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 25, track_time 0.80; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
las-vegas,21.41,21.58,21.52,,,3,58.0,,,MISURA NON SEPARABILE,-0.11,,0.0,2023.0,"warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 24, track_time -0.11; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
baku,20.58,20.72,21.5,,,7,75.0,,,MISURA NON SEPARABILE,-0.92,,0.0,2018.0,"warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 60, track_time -0.92; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
zandvoort,20.18,20.41,22.21,,,4,86.0,,,MISURA NON SEPARABILE,-2.04,22.700000000000003,1.0,2021.0,"warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 85, track_time -2.04; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
melbourne,18.78,18.15,22.51,,,1,7.0,,,MISURA NON SEPARABILE,-3.72,,0.0,2025.0,"cambio layout: escluse ['2018-r1', '2019-r1', '2022-r3', '2023-r3', '2024-r3']; layout attuale dal 2025; warm-in >= guadagno geometrico; veto fisico: pit_loss<0 su 0, >lane su 7, track_time -3.72; produzione (lane time) vicina al vero (errore <~1-2 s): debito di bassa priorita"
madrid,,,,,,0,,,,NON ESEGUIBILE,,,,,nessuna gara caricata
