cid,p10,p25,p50,p75,p90,shift_SOFT,shift_MEDIUM,shift_HARD
austin,13.9,18.0,21.0,28.2,32.0,-6.5,1.0,5.0
bahrain,10.0,12.0,15.0,18.0,21.0,-6.5,1.0,5.0
baku,6.5,11.0,15.0,33.2,38.5,-6.5,1.0,5.0
catalunya,10.0,14.0,18.0,23.0,26.0,-6.5,1.0,5.0
hungaroring,9.0,16.0,22.0,28.0,33.0,-6.5,1.0,5.0
imola,8.0,12.0,19.0,29.0,31.7,-6.5,1.0,5.0
interlagos,1.0,1.0,18.0,26.0,29.0,-6.5,1.0,5.0
jeddah,7.0,7.0,17.0,20.0,33.0,-6.5,1.0,5.0
las-vegas,2.2,10.0,16.0,21.0,25.0,-6.5,1.0,5.0
lusail,1.0,3.0,13.0,18.0,25.0,-6.5,1.0,5.0
marina-bay,14.0,20.0,24.0,29.0,38.0,-6.5,1.0,5.0
melbourne,1.0,2.0,8.0,22.0,30.0,-6.5,1.0,5.0
mexico-city,5.4,17.0,25.0,31.0,37.6,-6.5,1.0,5.0
miami,10.6,16.0,24.0,28.0,32.4,-6.5,1.0,5.0
monaco,1.0,4.0,20.0,41.5,53.0,-6.5,1.0,5.0
montreal,9.7,13.0,20.0,29.0,38.0,-6.5,1.0,5.0
monza,12.0,15.0,20.0,25.0,35.8,-6.5,1.0,5.0
shanghai,9.0,10.0,12.0,17.0,24.0,-6.5,1.0,5.0
silverstone,7.2,11.0,14.0,27.0,31.0,-6.5,1.0,5.0
spa-francorchamps,7.6,11.0,12.0,16.0,19.0,-6.5,1.0,5.0
spielberg,2.0,12.0,20.5,26.0,29.0,-6.5,1.0,5.0
suzuka,1.0,6.8,16.0,21.0,23.0,-6.5,1.0,5.0
yas-marina,8.0,14.0,18.5,24.0,27.9,-6.5,1.0,5.0
zandvoort,1.0,4.0,15.0,28.0,33.0,-6.5,1.0,5.0
GLOBAL,2.0,10.0,18.0,25.0,32.0,-6.5,1.0,5.0
