pop,k,metrica,n,media,mediana,q25,q75,p90,p95,p99,min,max
pit,1,perlap_tutte,288,12.7933,3.4429,1.5933,18.7216,28.3806,30.9467,42.8058,-3.4025,537.9278
pit,3,perlap_tutte,283,11.2274,2.5802,1.2877,15.2593,30.0702,41.0896,52.4221,-1.7866,269.4270
pit,5,perlap_tutte,267,8.6031,2.9599,1.2650,10.1539,24.3976,35.7362,45.2056,-1.1800,127.2409
ctrl,1,perlap_tutte,6910,3.3420,1.8928,1.1261,2.6855,3.8171,10.3191,47.3005,-4.5312,463.9287
ctrl,3,perlap_tutte,6063,3.3597,1.9451,1.1693,2.8248,4.9880,11.6735,41.6979,-4.5163,233.1950
ctrl,5,perlap_tutte,5254,3.3471,2.0215,1.2070,2.9918,5.0335,9.8882,37.4653,-3.7561,155.3719
pit,1,MAE_giro_tutte_vs_senzaneu,288,13.1524,2.4323,128,127,281,,,,
pit,3,MAE_giro_tutte_vs_senzaneu,283,11.3585,1.6452,140,145,274,,,,
pit,5,MAE_giro_tutte_vs_senzaneu,267,8.6706,1.4091,150,154,261,,,,
ctrl,1,MAE_giro_tutte_vs_senzaneu,6910,3.3953,1.8761,692,928,6670,,,,
ctrl,3,MAE_giro_tutte_vs_senzaneu,6063,3.4080,1.8774,856,1049,5868,,,,
ctrl,5,MAE_giro_tutte_vs_senzaneu,5254,3.3754,1.8729,965,1124,5093,,,,
